City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
288,Niles,42.0189,-87.8028,84.65,53,75,10.36,US,broken clouds
289,Maniitsoq,65.4167,-52.9,43.47,98,100,20.56,GL,heavy intensity rain
290,Maningrida,-12.0667,134.2667,76.41,66,10,15.05,AU,clear sky
291,Ruwi,23.5996,58.5507,82.09,63,72,5.5,OM,broken clouds
292,Faya,18.3851,42.4509,67.77,39,13,4.54,SA,few clouds
293,Palmer,42.1584,-72.3287,72.07,64,0,2.53,US,clear sky
294,Bouca,6.5105,18.2733,67.87,98,98,2.82,CF,light rain
295,Tuktoyaktuk,69.4541,-133.0374,55.42,64,68,7.0,CA,broken clouds
296,Rocha,-34.4833,-54.3333,44.56,79,21,13.18,UY,few clouds
297,Bonthe,7.5264,-12.505,74.79,90,95,3.67,SL,light rain
298,Mikhaylovka,50.06,43.2379,50.7,45,2,7.81,RU,clear sky
299,Urucara,-2.5364,-57.76,81.72,57,67,1.61,BR,broken clouds
300,Langsa,4.4683,97.9683,72.9,96,97,3.02,ID,overcast clouds
301,Nemuro,43.3236,145.575,63.57,74,77,2.13,JP,broken clouds
302,Soe,-9.8607,124.284,70.11,75,43,4.21,ID,scattered clouds
303,Waynesville,35.4887,-82.9887,76.39,82,100,1.99,US,overcast clouds
304,Bud,39.447,-86.1758,84.81,65,100,4.12,US,overcast clouds
305,Ankpa,7.3706,7.6253,67.86,97,100,3.85,NG,overcast clouds
306,Saint George,37.1041,-113.5841,108.25,10,0,6.91,US,clear sky
307,San Quintin,30.4833,-115.95,82.33,58,2,11.65,MX,clear sky
308,Tiarei,-17.5333,-149.3333,82.42,71,11,19.98,PF,few clouds
309,Pokhara,28.2333,83.9833,71.35,92,94,1.23,NP,overcast clouds
310,Darovskoy,58.77,47.9564,43.61,93,100,8.57,RU,overcast clouds
311,Vila Velha,-20.3297,-40.2925,70.95,83,0,1.01,BR,clear sky
312,Ulcinj,41.9294,19.2244,71.82,79,18,4.54,ME,few clouds
313,Chingola,-12.529,27.8838,61.36,54,36,6.51,ZM,scattered clouds
314,Mahabad,36.7631,45.7222,70.5,23,1,2.01,IR,clear sky
315,Bilibino,68.0546,166.4372,44.85,94,100,2.8,RU,moderate rain
316,Horta,38.5333,-28.6333,71.85,74,99,10.33,PT,overcast clouds
317,Playa Vicente,17.8333,-95.8167,79.65,91,95,8.3,MX,overcast clouds
318,Virginia Beach,36.8529,-75.978,84.02,68,6,9.53,US,clear sky
319,Northam,51.0333,-4.2167,63.39,96,96,6.51,GB,overcast clouds
320,Sao Jose Da Coroa Grande,-8.8978,-35.1478,74.46,80,25,10.45,BR,scattered clouds
321,Whitehorse,60.7161,-135.0538,56.17,63,100,18.41,CA,overcast clouds
322,Ko Samui,9.5357,99.9357,82.6,78,99,11.45,TH,overcast clouds
323,Amudat,1.95,34.95,67.87,77,79,3.0,UG,broken clouds
324,Lakeland Highlands,27.9597,-81.9501,79.66,86,100,19.57,US,overcast clouds
325,Nambucca Heads,-30.65,153.0,58.17,96,100,8.03,AU,moderate rain
326,Atyrau,47.1167,51.8833,75.22,94,18,6.71,KZ,mist
327,Lagoa,39.05,-27.9833,70.92,76,37,14.99,PT,scattered clouds
328,Hvide Sande,56.0045,8.1294,53.1,71,100,16.24,DK,overcast clouds
329,Davila,18.4726,120.5763,80.67,88,100,25.59,PH,heavy intensity rain
330,Aswan,24.0934,32.907,90.0,25,24,14.65,EG,few clouds
331,Yichun,47.7,128.9,59.65,74,24,2.3,CN,few clouds
332,Baruun-Urt,46.6806,113.2792,59.0,55,95,5.12,MN,overcast clouds
333,Iberia,29.9502,-91.7507,87.87,70,0,6.91,US,clear sky
334,Umm Lajj,25.0213,37.2685,84.16,83,75,10.27,SA,broken clouds
335,Port Huron,42.9709,-82.4249,80.87,53,0,5.01,US,clear sky
336,Hervey Bay,-25.2986,152.8535,64.45,91,100,7.81,AU,overcast clouds
337,Kashi,39.4547,75.9797,67.35,44,1,2.82,CN,clear sky
338,Salina Cruz,16.1667,-95.2,83.01,76,100,11.07,MX,overcast clouds
339,Sterling,39.0062,-77.4286,84.69,58,75,8.99,US,broken clouds
340,Bowen,-20.0167,148.2333,68.61,83,100,15.5,AU,overcast clouds
341,Gorom-Gorom,14.4439,-0.2361,78.31,76,86,18.3,BF,light rain
342,Namibe,-15.1961,12.1522,62.98,86,100,4.25,AO,overcast clouds
